,t,Upper_CI,Confidence_level,median,Lower_CI
139,4.646464646464646,26.18041263668254,90%,24.87353224574132,23.47290618100729
140,4.646464646464646,28.343080095787023,99%,24.87353224574132,23.30301138265812
141,4.747474747474747,25.889185924835285,80%,25.34629164237544,24.84654204983766
142,4.747474747474747,26.72534671748088,90%,25.34629164237544,23.83402978078781
143,4.747474747474747,28.999826484932157,99%,25.34629164237544,23.620928685406263
144,4.848484848484849,26.39167546540296,80%,25.82935959221799,25.2974042332072
145,4.848484848484849,27.28032204538969,90%,25.82935959221799,24.201014635287297
146,4.848484848484849,29.691099820505816,99%,25.82935959221799,23.98130230431538
147,4.94949494949495,26.90804956933216,80%,26.3221833681503,25.755934785541022
148,4.94949494949495,27.838471631647543,90%,26.3221833681503,24.5778247125403
149,4.94949494949495,30.398753568289678,99%,26.3221833681503,24.35378051014101
150,5.05050505050505,27.431114499732697,80%,26.82513139790494,26.225463456289702
151,5.05050505050505,28.39979813049219,90%,26.82513139790494,24.97426598975196
152,5.05050505050505,31.10644501601427,99%,26.82513139790494,24.7108824114275
